freq,gain
49.980,2.953
98.971,2.817
147.929,2.630
196.850,2.420
246.063,2.212
294.811,2.021
344.353,1.848
393.082,1.697
441.696,1.564
490.196,1.448
589.623,1.253
637.755,1.177
686.813,1.106
735.294,1.044
786.164,0.986
833.333,0.937
880.282,0.892
932.836,0.847
984.252,0.808
1033.058,0.773
1077.586,0.744
1128.032,0.696
1176.471,0.671
1225.490,0.646
1274.697,0.624
1323.627,0.602
1372.684,0.583
1421.464,0.566
1470.588,0.549
1519.757,0.530
1568.627,0.514
1618.123,0.500
1666.667,0.485
1715.266,0.474
1765.225,0.463
1813.237,0.452
1862.197,0.441
1912.046,0.431
1960.784,0.421
2010.050,0.411
2057.613,0.403
2107.482,0.394
2157.497,0.385
2205.072,0.376
2254.791,0.370
2304.147,0.363
2352.941,0.356
2400.960,0.349
2450.980,0.342
2500.000,0.338
2547.771,0.332
2597.403,0.325
2645.503,0.319
2695.418,0.314
2743.484,0.308
2793.296,0.303
2840.909,0.299
2890.173,0.295
2941.176,0.290
2989.537,0.286
3039.514,0.282
3134.796,0.275
3184.713,0.271
3236.246,0.267
3284.072,0.263
3333.333,0.259
3384.095,0.255
3430.532,0.252
3478.261,0.249
3527.337,0.246
3577.818,0.243
3676.471,0.236
3724.395,0.233
3773.585,0.229
3824.092,0.227
3868.472,0.225
3921.569,0.223
3968.254,0.221
4065.041,0.218
4115.226,0.215
4166.667,0.213
4210.526,0.211
4357.298,0.203
4405.286,0.202
4454.343,0.199
4504.505,0.198
4608.295,0.193
4651.163,0.191
4807.692,0.186
4901.961,0.182
