Time,Voltage
0.000001,0.22
0.004,0.268
0.008,0.341
0.012,0.405
0.016,0.454
0.02,0.502
0.024,0.558
0.028,0.607
0.032,0.655
0.036,0.712
0.04,0.76
0.044,0.801
0.048,0.857
0.052,0.897
0.056,0.946
0.06,0.986
0.064,1.035
0.068,1.075
0.072,1.123
0.076,1.164
0.08,1.204
0.084,1.252
0.088,1.293
0.092,1.333
0.096,1.374
0.1,1.414
0.104,1.454
0.108,1.503
0.112,1.535
0.116,1.559
0.12,1.608
0.124,1.64
0.128,1.68
0.132,1.713
0.136,1.753
0.14,1.785
0.144,1.826
0.148,1.85
0.152,1.89
0.156,1.923
0.16,1.963
0.164,1.987
0.168,2.019
0.172,2.052
0.176,2.084
0.18,2.116
0.184,2.149
0.188,2.173
0.192,2.205
0.196,2.238
0.2,2.27
0.204,2.294
0.208,2.318
0.212,2.335
0.216,2.375
0.22,2.399
0.224,2.431
0.228,2.472
0.232,2.48
0.236,2.512
0.24,2.537
0.244,2.569
0.248,2.593
0.252,2.593
0.256,2.633
0.26,2.666
0.264,2.69
0.268,2.714
0.272,2.73
0.276,2.755
0.28,2.779
0.284,2.803
0.288,2.827
0.292,2.852
0.296,2.876
0.3,2.892
0.304,2.916
0.308,2.932
0.312,2.957
0.316,2.981
0.32,2.997
0.324,3.013
0.328,3.038
0.332,3.054
0.336,3.078
0.34,3.094
0.344,3.118
0.348,3.126
0.352,3.151
0.356,3.175
0.36,3.183
0.364,3.207
0.368,3.223
0.372,3.24
0.376,3.256
0.38,3.272
0.384,3.288
0.388,3.304
0.392,3.321
0.396,3.337
0.4,3.353
0.404,3.369
0.408,3.369
0.412,3.401
0.416,3.418
0.42,3.434
0.424,3.45
0.428,3.466
0.432,3.474
0.436,3.506
0.44,3.506
0.444,3.515
0.448,3.531
0.452,3.547
0.456,3.571
0.46,3.571
0.464,3.587
0.468,3.604
0.472,3.612
0.476,3.628
0.48,3.628
0.484,3.628
0.488,3.66
0.492,3.676
0.496,3.692
0.5,3.701
0.504,3.717
0.508,3.725
0.512,3.733
0.516,3.749
0.52,3.757
0.524,3.765
0.528,3.781
0.532,3.79
0.536,3.798
0.54,3.814
0.544,3.83
0.548,3.83
0.552,3.846
0.556,3.854
0.56,3.862
0.564,3.87
0.568,3.895
0.572,3.895
0.576,3.895
0.58,3.911
0.584,3.919
0.588,3.927
0.592,3.935
0.596,3.951
0.6,3.959
0.604,3.967
0.608,3.976
0.612,3.984
0.616,3.992
0.62,4
0.624,4.008
0.628,4.024
0.632,4.024
0.636,4.032
0.64,4.04
0.644,4.048
0.648,4.056
0.652,4.065
0.656,4.073
0.66,4.081
0.664,4.089
0.668,4.097
0.672,4.097
0.676,4.105
0.68,4.121
0.684,4.121
0.688,4.129
0.692,4.137
0.696,4.145
0.7,4.145
0.704,4.154
0.708,4.162
0.712,4.17
0.716,4.178
0.72,4.178
0.724,4.186
0.728,4.186
0.732,4.202
0.736,4.21
0.74,4.21
0.744,4.218
0.748,4.226
0.752,4.226
0.756,4.234
0.76,4.243
0.764,4.243
0.768,4.251
0.772,4.259
0.776,4.259
0.78,4.267
0.784,4.275
0.788,4.275
0.792,4.283
0.796,4.283
0.8,4.291
0.804,4.299
0.808,4.299
0.812,4.307
0.816,4.315
0.82,4.315
0.824,4.323
0.828,4.323
0.832,4.332
0.836,4.332
0.84,4.348
0.844,4.348
0.848,4.348
0.852,4.356
0.856,4.356
0.86,4.364
0.864,4.372
0.868,4.372
0.872,4.372
0.876,4.38
0.88,4.38
0.884,4.38
0.888,4.388
0.892,4.396
0.896,4.396
0.9,4.404
0.904,4.404
0.908,4.404
0.912,4.404
0.916,4.404
0.92,4.404
0.924,4.421
0.928,4.429
0.932,4.429
0.936,4.437
0.94,4.437
0.944,4.437
0.948,4.437
0.952,4.445
0.956,4.453
0.96,4.453
0.964,4.453
0.968,4.461
0.972,4.461
0.976,4.461
0.98,4.469
0.984,4.469
0.988,4.469
0.992,4.477
0.996,4.477
1,4.477
1.004,4.485
1.008,4.485
1.012,4.493
1.016,4.493
1.02,4.501
1.024,4.501
1.028,4.501
1.032,4.501
1.036,4.51
1.04,4.51
1.044,4.518
1.048,4.518
1.052,4.518
1.056,4.518
1.06,4.526
1.064,4.542
1.068,4.542
1.072,4.542
1.076,4.542
1.08,4.542
1.084,4.542
1.088,4.542
1.092,4.542
1.096,4.542
1.1,4.542
1.104,4.55
1.108,4.55
1.112,4.55
1.116,4.55
1.12,4.558
1.124,4.558
1.128,4.566
1.132,4.566
1.136,4.566
1.14,4.566
1.144,4.566
1.148,4.566
1.152,4.566
1.156,4.566
1.16,4.574
1.164,4.574
1.168,4.582
1.172,4.582
1.176,4.59
1.18,4.59
1.184,4.582
1.188,4.59
1.192,4.607
1.196,4.607
1.2,4.607
1.204,4.607
1.208,4.607
1.212,4.607
1.216,4.607
1.22,4.607
1.224,4.607
1.228,4.607
1.232,4.607
1.236,4.607
1.24,4.607
1.244,4.615
1.248,4.615
1.252,4.615
1.256,4.615
1.26,4.615
1.264,4.615
1.268,4.623
1.272,4.623
1.276,4.623
1.28,4.623
1.284,4.631
1.288,4.631
1.292,4.631
